,Movie,Year,Genre,Rating,metaScore,Votes,Length,Age Certificate
603,Perfect Strangers,2016,"Comedy, Drama",7.8,,54935,96,
220,Dil Bechara,2020,"Comedy, Drama, Romance",7.9,,103835,101,
163,Chhichhore,2019,"Comedy, Drama",8.2,,30301,143,12A
179,Cowboy Bebop: The Movie,2001,"Animation, Action, Crime",7.9,61.0,42185,115,12A
262,The Bandit,1996,"Crime, Drama, Thriller",8.2,,62416,128,15
76,Ayla: The Daughter of War,2017,"Biography, Drama, History",8.4,,32599,125,15
956,Vizontele,2001,"Comedy, Drama",8.0,,32515,110,15
557,The Breath,2009,"Action, Drama, Thriller",8.0,,31322,128,15
985,7 Kogustaki Mucize,2019,Drama,8.3,,29848,132,15
292,G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",8.0,,55445,127,15
251,The Body,2012,"Mystery, Thriller",7.6,,55138,112,15
158,Celda 211,2009,"Action, Adventure, Crime",7.6,,63086,113,18
331,Fireworks,1997,"Crime, Drama, Romance",7.8,,27118,103,18
893,The Third Man,1949,"Film-Noir, Mystery, Thriller",8.1,97.0,156113,93,Approved
580,On the Waterfront,1954,"Crime, Drama, Thriller",8.1,91.0,139395,108,Approved
650,Rosemary's Baby,1968,"Drama, Horror",8.0,96.0,188977,137,Approved
840,The Magnificent Seven,1960,"Action, Adventure, Western",7.7,74.0,86338,128,Approved
649,Rope,1948,"Crime, Drama, Mystery",8.0,73.0,126771,80,Approved
740,The Apartment,1960,"Comedy, Drama, Romance",8.3,94.0,160301,125,Approved
401,Judgment at Nuremberg,1961,"Drama, War",8.2,60.0,67887,179,Approved
696,Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",7.6,95.0,178044,83,Approved
1,12 Angry Men,1957,"Crime, Drama",8.9,96.0,672914,96,Approved
461,Lawrence of Arabia,1962,"Adventure, Biography, Drama",8.3,100.0,262995,228,Approved
743,The Best Years of Our Lives,1946,"Drama, Romance, War",8.0,93.0,56465,170,Approved
341,Harvey,1950,"Comedy, Drama, Fantasy",7.9,,52073,104,Approved
633,Rebecca,1940,"Drama, Mystery, Romance",8.1,86.0,120136,130,Approved
724,Sweet Smell of Success,1957,"Drama, Film-Noir",8.1,100.0,27415,96,Approved
28,Ace in the Hole,1951,"Drama, Film-Noir",8.1,72.0,30753,111,Approved
914,To Kill a Mockingbird,1962,"Crime, Drama",8.2,88.0,289970,129,Approved
978,Witness for the Prosecution,1957,"Crime, Drama, Mystery",8.4,,105660,116,Approved
816,The Killing,1956,"Crime, Drama, Film-Noir",8.0,91.0,80059,84,Approved
129,Breakfast at Tiffany's,1961,"Comedy, Drama, Romance",7.6,76.0,163777,115,Approved
565,North by Northwest,1959,"Adventure, Mystery, Thriller",8.3,98.0,293468,136,Approved
598,Paths of Glory,1957,"Drama, War",8.4,90.0,173964,88,Approved
389,It Happened One Night,1934,"Comedy, Romance",8.1,87.0,91926,105,Approved
882,The Sound of Music,1965,"Biography, Drama, Family",8.0,63.0,199373,172,G
171,City Lights,1931,"Comedy, Drama, Romance",8.5,99.0,163908,87,G
830,The Little Mermaid,1989,"Animation, Family, Fantasy",7.6,88.0,232992,83,G
850,The Muppet Movie,1979,"Adventure, Comedy, Family",7.6,74.0,32091,95,G
924,Toy Story 4,2019,"Animation, Adventure, Comedy",7.8,84.0,191942,100,G
855,The Odd Couple,1968,Comedy,7.7,86.0,31003,105,G
923,Toy Story 3,2010,"Animation, Adventure, Comedy",8.3,92.0,743090,103,G
413,The Secret World of Arrietty,2010,"Animation, Adventure, Family",7.6,80.0,78308,94,G
922,Toy Story 2,1999,"Animation, Adventure, Comedy",7.9,88.0,517051,92,G
921,Toy Story,1995,"Animation, Adventure, Comedy",8.3,95.0,868830,81,G
885,The Straight Story,1999,"Biography, Drama",8.0,86.0,80385,112,G
548,My Fair Lady,1964,"Drama, Family, Musical",7.8,95.0,85105,170,G
814,The Jungle Book,1967,"Animation, Adventure, Family",7.6,65.0,163194,78,G
536,"Monsters, Inc.",2001,"Animation, Adventure, Comedy",8.0,79.0,798787,92,G
887,The Ten Commandments,1956,"Adventure, Drama",7.9,,62567,220,G
100,Ben-Hur,1959,"Adventure, Drama, History",8.1,90.0,215799,212,G
543,Mulan,1998,"Animation, Adventure, Family",7.6,71.0,250157,88,G
875,The Secret of NIMH,1982,"Animation, Adventure, Drama",7.6,76.0,35651,82,G
769,The Day the Earth Stood Still,1951,"Drama, Sci-Fi",7.7,,75562,92,G
612,Planet of the Apes,1968,"Adventure, Sci-Fi",8.0,79.0,163381,112,G
919,My Neighbor Totoro,1988,"Animation, Family, Fantasy",8.2,86.0,281164,86,G
832,The Longest Day,1962,"Action, Drama, History",7.8,75.0,51542,178,G
93,Beauty and the Beast,1991,"Animation, Family, Fantasy",8.0,95.0,411948,84,G
849,The Muppet Christmas Carol,1992,"Comedy, Drama, Family",7.7,64.0,46514,85,G
828,The Lion King,1994,"Animation, Adventure, Drama",8.5,88.0,922064,88,G
630,Ratatouille,2007,"Animation, Adventure, Comedy",8.0,96.0,627726,111,G
38,Aladdin,1992,"Animation, Adventure, Comedy",8.0,86.0,366380,90,G
275,Fiddler on the Roof,1971,"Drama, Family, Musical",8.0,67.0,38593,181,G
19,A Hard Day's Night,1964,"Comedy, Music, Musical",7.6,96.0,39577,87,G
525,Whisper of the Heart,1995,"Animation, Drama, Family",7.9,75.0,49574,111,G
325,Hachi: A Dog's Tale,2009,"Drama, Family",8.1,,247294,93,G
514,Mary Poppins,1964,"Comedy, Family, Fantasy",7.8,88.0,154973,139,G
20,A Little Princess,1995,"Drama, Family, Fantasy",7.7,83.0,31647,97,G
293,Ponyo,2008,"Animation, Adventure, Comedy",7.7,86.0,121260,101,G
959,WALL·E,2008,"Animation, Adventure, Family",8.4,95.0,979403,98,G
269,Fantasia,1940,"Animation, Family, Fantasy",7.7,96.0,87155,125,G
688,Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,99.0,214423,103,G
643,Robin Hood,1973,"Animation, Adventure, Comedy",7.6,57.0,113332,83,G
277,Finding Nemo,2003,"Animation, Adventure, Comedy",8.1,90.0,932040,100,G
992,The Mirror,1975,"Biography, Drama",8.1,,38501,107,G
532,Modern Times,1936,"Comedy, Drama, Family",8.5,96.0,212747,87,G
505,Kiki's Delivery Service,1989,"Animation, Adventure, Drama",7.8,83.0,119261,103,G
4,2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3,84.0,591192,149,G
975,Willy Wonka & the Chocolate Factory,1971,"Family, Fantasy, Musical",7.8,67.0,174957,100,G
21,A Man for All Seasons,1966,"Biography, Drama, History",7.7,72.0,30674,120,G
300,Giant,1956,"Drama, Western",7.6,84.0,33436,201,G
177,Cool Hand Luke,1967,"Crime, Drama",8.1,92.0,159099,127,GP
471,Le Samouraï,1967,"Crime, Drama, Mystery",8.1,,44264,101,GP
416,Kelly's Heroes,1970,"Adventure, Comedy, War",7.6,50.0,44522,144,GP
599,Patton,1970,"Biography, Drama, War",7.9,91.0,92694,172,GP
970,Where Eagles Dare,1968,"Action, Adventure, War",7.7,63.0,50964,158,M
454,Blue Is the Warmest Colour,2013,"Drama, Romance",7.7,89.0,136046,180,NC-17
707,Stalag 17,1953,"Comedy, Drama, War",8.0,84.0,50472,120,Not Rated
592,Paan Singh Tomar,2012,"Action, Biography, Crime",8.2,,32573,135,Not Rated
187,Dangal,2016,"Action, Biography, Drama",8.4,,149588,161,Not Rated
591,PK,2014,"Comedy, Drama, Musical",8.1,,158268,153,Not Rated
805,The Hustler,1961,"Drama, Sport",8.0,90.0,74205,134,Not Rated
809,The Innocents,1961,Horror,7.8,88.0,26092,100,Not Rated
590,Out of the Past,1947,"Crime, Drama, Film-Noir",8.0,,32033,97,Not Rated
192,The Cabinet of Dr. Caligari,1920,"Fantasy, Horror, Mystery",8.1,,55994,67,Not Rated
704,The Vanishing,1988,"Mystery, Thriller",7.7,,33183,107,Not Rated
386,Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",7.7,92.0,44079,80,Not Rated
254,The Exterminating Angel,1962,"Drama, Fantasy",8.1,,28975,95,Not Rated
820,The Lady Vanishes,1938,"Mystery, Thriller",7.8,,46434,96,Not Rated
160,Chak De! India,2007,"Drama, Family, Sport",8.2,68.0,72655,153,Not Rated
403,The Virgin Spring,1960,Drama,8.1,,26156,89,Not Rated
836,The Lost Weekend,1945,"Drama, Film-Noir",7.9,,32944,101,Not Rated
302,Gilda,1946,"Drama, Film-Noir, Romance",7.7,,27387,110,Not Rated
402,Jules and Jim,1962,"Drama, Romance",7.8,97.0,36763,105,Not Rated
166,The Chaser,2008,"Action, Crime, Thriller",7.8,64.0,56723,125,Not Rated
679,Sholay,1975,"Action, Adventure, Comedy",8.2,,50448,162,Not Rated
702,Special 26,2013,"Crime, Drama, Thriller",8.0,,49942,144,Not Rated
175,The Invisible Guest,2016,"Crime, Drama, Mystery",8.1,,129875,106,Not Rated
312,Joint Security Area,2000,"Action, Drama, Thriller",7.8,58.0,25752,110,Not Rated
585,Evil,2003,Drama,7.8,61.0,35242,113,Not Rated
291,Funny Games,1997,"Crime, Drama, Thriller",7.6,69.0,63228,108,Not Rated
393,Jab We Met,2007,"Comedy, Drama, Romance",7.9,,46676,138,Not Rated
391,Ivan's Childhood,1962,"Drama, War",8.1,,30543,84,Not Rated
821,The Ladykillers,1955,"Comedy, Crime",7.7,91.0,25736,91,Not Rated
676,Seven Samurai,1954,"Action, Adventure, Drama",8.6,98.0,309796,207,Not Rated
796,The Great Escape,1963,"Adventure, Drama, History",8.2,86.0,220782,172,Not Rated
205,Death Note,2006,"Crime, Drama, Fantasy",7.7,,28277,126,Not Rated
708,Stalker,1979,"Drama, Sci-Fi",8.2,,113098,162,Not Rated
758,The Broken Circle Breakdown,2012,"Drama, Music, Romance",7.8,70.0,38776,111,Not Rated
628,Rang De Basanti,2006,"Comedy, Drama",8.2,,109622,167,Not Rated
629,Rashomon,1950,"Crime, Drama, Mystery",8.2,98.0,149242,88,Not Rated
723,Swades,2004,Drama,8.2,,81726,189,Not Rated
354,Grave of the Fireflies,1988,"Animation, Drama, War",8.5,94.0,227628,89,Not Rated
647,Roman Holiday,1953,"Comedy, Romance",8.0,78.0,125224,118,Not Rated
729,Talvar,2015,"Crime, Drama, Mystery",8.2,,30212,132,Not Rated
259,English Vinglish,2012,"Comedy, Drama, Family",7.8,,32944,134,Not Rated
733,High and Low,1963,"Crime, Drama, Mystery",8.4,,32025,143,Not Rated
237,Drishyam,2013,"Crime, Drama, Thriller",8.3,,29921,160,Not Rated
238,Drishyam,2015,"Crime, Drama, Mystery",8.2,,66899,163,Not Rated
240,Rififi,1955,"Crime, Drama, Thriller",8.2,97.0,27060,118,Not Rated
241,Duck Soup,1933,"Comedy, Musical, War",7.8,93.0,54918,69,Not Rated
350,Hiroshima Mon Amour,1959,"Drama, Romance",7.9,,27629,90,Not Rated
347,Hera Pheri,2000,"Action, Comedy, Crime",8.2,,55421,156,Not Rated
746,The Big Sleep,1946,"Crime, Film-Noir, Mystery",7.9,,77766,114,Not Rated
737,The 39 Steps,1935,"Mystery, Thriller",7.6,93.0,50814,86,Not Rated
623,Queen,2013,"Adventure, Comedy, Drama",8.2,,59804,146,Not Rated
363,Come and See,1985,"Drama, Thriller, War",8.3,,55349,142,Not Rated
364,Ikiru,1952,Drama,8.3,,66176,143,Not Rated
655,Memories of Murder,2003,"Action, Crime, Drama",8.1,82.0,130472,132,Not Rated
286,Freaks,1932,"Drama, Horror",7.9,80.0,41357,64,Not Rated
600,Peeping Tom,1960,"Drama, Horror, Thriller",7.7,,30275,101,Not Rated
666,Harakiri,1962,"Action, Drama, Mystery",8.6,85.0,38402,133,Not Rated
638,Repulsion,1965,"Drama, Horror, Thriller",7.7,91.0,47944,105,Not Rated
322,Guess Who's Coming to Dinner,1967,"Comedy, Drama",7.8,63.0,38576,108,Not Rated
605,Persona,1966,"Drama, Thriller",8.1,86.0,99879,83,Not Rated
371,In the Heat of the Night,1967,"Crime, Drama, Mystery",7.9,75.0,66349,110,Not Rated
370,In a Lonely Place,1950,"Drama, Film-Noir, Mystery",8.0,,25591,94,Not Rated
201,Dead Man's Shoes,2004,"Crime, Drama, Thriller",7.6,52.0,48707,90,Not Rated
212,The Seventh Seal,1957,"Drama, Fantasy",8.2,88.0,160533,96,Not Rated
213,Detachment,2011,Drama,7.7,52.0,75358,98,Not Rated
214,Dev.D,2009,"Drama, Romance",8.0,,28317,144,Not Rated
608,Pink,2016,"Drama, Thriller",8.1,,37994,136,Not Rated
772,The Dirty Dozen,1967,"Action, Adventure, War",7.7,73.0,66083,150,Not Rated
327,Haider,2014,"Action, Crime, Drama",8.1,,49605,160,Not Rated
219,The Wave,2008,"Drama, Thriller",7.6,,101128,107,Not Rated
221,Dil Chahta Hai,2001,"Comedy, Drama, Romance",8.1,,65738,183,Not Rated
222,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",8.1,,62176,181,Not Rated
323,Gully Boy,2019,"Drama, Music",8.1,65.0,30160,153,Not Rated
999,Breathless,1960,"Crime, Drama",7.9,,71542,90,Not Rated
405,Ninja Scroll,1993,"Animation, Action, Adventure",7.9,,34000,94,Not Rated
156,Cat on a Hot Tin Roof,1958,Drama,8.0,84.0,44197,108,Not Rated
33,The Handmaiden,2016,"Drama, Romance, Thriller",8.1,84.0,106398,145,Not Rated
78,Baby,2015,"Action, Thriller",8.0,,51953,159,Not Rated
32,"Aguirre, the Wrath of God",1972,"Action, Adventure, Biography",7.9,,51262,95,Not Rated
841,The Maltese Falcon,1941,"Film-Noir, Mystery",8.0,96.0,147189,100,Not Rated
545,Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",8.1,,72393,156,Not Rated
446,La Haine,1995,"Crime, Drama",8.1,,145750,98,Not Rated
83,Badhaai Ho,2018,"Comedy, Drama, Family",8.0,,26697,124,Not Rated
972,White Heat,1949,"Action, Crime, Drama",8.1,,29132,114,Not Rated
